Acc. No.,Title of the Book,SubTitle,Author,Subject,Edition/Year,Ref,Pages,Call no.,Medium,Level,ISBN No.,Publisher's Name,Publisher's address,Purchase Details,Price,Remarks
1,THE ORATIONS OF MUHAMMAD,THE PROPHET OF ISLAM,M.MUHAMMAD UBAIDUL AKBAR,Arabic,4e/1994,,97,,,,8171510477,"NUSRAT ALI NASRI FOR KITAB BHAVAN, 1784, KALAN MAHAL, DARYAGANJ, NEW DELHI - 110002 (INDIA)",,-NA-,,
2,SYNONYMS & ANTONYMS,,SHABNAM GUPTA,English,2005,,x+198,425,English,General,9788189093891,LOTUS PRESS,"4263/3, ANSARI ROAD, DARYAGANJ, NEW DELHI - 110002",-NA-,95,
3,REACHING OUT TO MY RABB,A COLLECTION ON INVOCATIONS FROM THE QUR'AN AND SUNNAH WITH EXPLANTORY NOTES,UMM ABDUL AHAD,Islamic Studies,2010,,10+xliv+472,210,English,General,,ZAK MEDIA AND PUBLICATIONS,"49, VEERABADRAN STREET, NUNGAMBAKKAM, CHENNAI - 600034.",-NA-,,
4,ESSENTIAL ENGLISH USAGE & GRAMMAR - Book 4,"Comparison, Finites, Punctuation, Gerunds, Determinatives, Direct speech, Passive voice, Pronouns, Agreement, Tenses, Possessives, Adverbs, Adjectives, conjunctions",J.B. ALTER,English,1979 / 2005,,xii+278+31,425,English,General,9789620501487,"TIMES EDUCATIONAL CO LTD,","7A, MELBOURNE INDUSTRIAL BUILDING, 16, WESTLANDS ROAD, QUARRY BAY, HONG KONG",-NA-,C,
5,FOREST HISTORY OF THE NILGIRIS,,DR.T. SEKAR,Geography,2004,Ref,190,,,,,TAMILNADU FOREST DEPARTMENT,,-NA-,,
6,A BRIEF ILLUSTRATED GUIDE TO UNDERSTANDING ISLAM,,I.A.IBRAHIM,Islamic Studies,2e/1997,,ii+74,210,English,General,9960340112,DARUSSALAM PUBLISHERS AND DISTRIBUTORS,"HOUSTON, TEXAS, USA",-NA-,,
7,LETTERS OF THE HOLY PROPHET,,SULTAN AHMED QURESHI,Islamic Studies,1997,,viii+163,210,English,General,8185738092,ABDUL NAEEM(FOR ISLAMIC BOOK SERVICE),"2241, KUCHA CHELLAN, DARYA GANJ, NEW DELHI - 110002",-NA-,60,
8,NO MONEY MARKETING,FROM UPSTART TO BIG BRAND ON A FRUGAL BUDGET,JESSIE PAUL,Economic,2009,,189,330,,,9780070152700,"TATA MCGRAW HILL EDUCATION PRIVATE LIMITED, 7, WEST PATEL NAGAR, NEW DELHI - 110008",,-NA-,,
9,ALOE VERA,THE HEALTH AND HEALING PLANT,ED MAYKUT / MARC SCHWEIZER,Science,,,62(Icon),610,English,General,,APOPHTEGME,,-NA-,,
10,101 WAYS TO IMPROVE YOUR COMMUNICATION SKILLS INSTANTLY,,JO CONDRILL / BENNIE BOUGH,English,2003,,xii+112+4,428.0141,English,General,978817224747,JAICO PUBLISHING HOUSE,"121, MAHATMA GANDHI ROAD, MUMBAI - 400023",-NA-,75,
11,THE HIGH PERFORMANCE ENTREPRENEUR,GOLDEN RULES FOR SUCCESS IN TODAY'S WORLD,SUBROTO BAGCHI,Economic,2006,,244,380,,,9780143064268,"PENGUIN BOOKS INDIA PVT. LTD., 11 COMMUNITY CENTRE, PANCHSHEEL PARK, NEW DELHI- 110017, INDIA",,-NA-,299,
12,SWAMY'S HANDBOOK 2010 - FOR CENTRAL GOVERNMENT STAFF,INCORPORATING ORDERS BASED ON SIXTH PAY COMMISSION RECOMMENDATIONS,MUTHUSWAMY / BRINDA,General / Law,36e/2010,Ref,367,351.1623,English,General,,SWAMY PUBLISHERS (P) LTD.,"236, R.K. MUTT ROAD, POST BOX NO. 2468, CHENNAI - 600028",-NA-,210,
13,THE POLITICAL THOUGHT OF IBN TAYMIYAH,,PROF. QAMARUDDIN KHAN,Arabic,2007,Ref,216,,,,8174352244,"SYED SAJID ALI FOR ADAM PUBLISHERS & DISTRIBUTORS, 1542, PATAUDI HOUSE, DARYA GANJ, NEW DELHI - 110002",,-NA-,,
14,HOW TO DEVELOP A POWERFUL AND POSITIVE PERSONALITY,A GUIDE TO STEP BY STEP PERSONALITY DEVELOPMENT,VENKATA IYER,General,1998,,viii+205,158,English,General,9788120720893,STERLING PAPERBACKS,"AN IMPRINT OF STERLING PUBLISHERS (P) LTD., A-59, OKHLA INDUSTRIAL AREA, PHASE-II, NEW DELHI - 110020",-NA-,95,
15,CHRISTIAN MUSLIM DIALOGUE,,H.M. BAAGIL,Islamic Studies,1984,Ref,vi+66,210,English,General,,INTERNATIONAL ISLAMIC PUBLISHING HOUSE,,-NA-,SR7.00,Saudia Riyal
16,SPEAK ENGLISH GREEN,8,DON DALLAS,English,2004,,56(Icon),425,,,9788125025955,"ORIENT LONGMAN PRIVATE LIMITED, 1/24, ASAF ALI ROAD, NEW DELHI - 110002","3-6-752, HIMAYATNAGAR, HYDERABAD - 500029 (A.P.) INDIA",-NA-,97,
17,SPEAK ENGLISH GREEN,7,DON DALLAS,English,2005,,60(Icon),425,,,9788125026297,"ORIENT LONGMAN PRIVATE LIMITED, 1/24, ASAF ALI ROAD, NEW DELHI - 110002","3-6-752, HIMAYATNAGAR, HYDERABAD - 500029 (A.P.) INDIA",-NA-,91,
18,CHRIST JESUS IN THE GOSPELS AND THE QURAN,,MD. IRSHAD ANWAR KHAN,Islamic Studies,2004,,96(Icon),210,English,General,,HUMA KHURSHID,"SEGUNBAGAN, P.O. TELINIPARA, DT. HOOGHLY",-NA-,50,
19,A TALE OF TWO CITIES,SCHOLARLY SERIES,CHARLES DICKENS,English / Fiction,1ed-2008,,138(Icon),823,English,General,9788179044360,"APPLE PUBLISHING INTERNATIONAL (P) LTD.,","130, NELSON MANICKAM ROAD, AMINJIKARAI, CHENNAI - 600029 (INDIA)",-NA-,60,
20,RESURRECTION OR RESUSCITATION ?,,AHMED DEEDAT,Islamic Studies,,Ref,16(Icon),210,English,General,9798174355149,"ADAM PUBLISHERS & DISTRIBUTORS,","1542, PATAUDI HOUSE, DARYA GANJ, NEW DELHI - 2 (INDIA)",-NA-,15,
21,EXPLORATIONS,"A COURSE IN READING, THINKING AND COMMUNICATION SKILLS",ORANEE JANSZ,English,2004/ 2005,,vi+134,425,English,General,9788175961920,"FOUNDATION BOOKS,","4764/2A, 23 ANSARI ROAD, DARYAGANJ, NEW DELHI - 110002",-NA-,65,
22,KNOWING ALLAAH : EEMAAN MADE EASY PART ONE,,MUHAMMAD AL-JIBALY,Islamic Studies,2e/2002,,xx+108,210,English / Arabic,8,9781891229824,AL-KITAB & AS-SUNNAH PUBLISHING,"PO BOX 11/3771, BEIRUT - LEBANON",-NA-,,
23,PART THIRTY OF THE HOLY QUR'AN,"ARABIC, TRANSLATION AND TRANSLITERATION",ABDULLAH YUSUF ALI,Arabic,2005,Ref,114,,,,817101535-2,"IDARA ISHA'AT-E-DINIYAT (P) LTD., 168/2, JHA HOUSE, HAZRAT NIZAMUDDIN, NEW DELHI-110013",,-NA-,40,
24,SPEAK ENGLISH GREEN,5,DON DALLAS,English,2004,,44(Icon),425,,,9788125026273,"ORIENT LONGMAN PRIVATE LIMITED, 1/24, ASAF ALI ROAD, NEW DELHI - 110002","3-6-752, HIMAYATNAGAR, HYDERABAD - 500029 (A.P.) INDIA",-NA-,78,
25,ENGLISH CONVERSATION PRACTICE,TMH ed,GRANT TAYLOR,English,1967,,xvi+301,425,English,General,70996032,"TATA MCGRAW HILL EDUCATION PRIVATE LIMITED,","7, WEST PATEL NAGAR, NEW DELHI - 110008",-NA-,194,
26,KEY TO WREN & MARTIN'S HIGH SCHOOL ENGLISH GRAMMAR AND COMPOSITION,,S.CHAND - EXPERIENCED TEACHERS,English,2002,,269,425,English,Higher,9788121904001,"S.CHAND & COMPANY LTD.,","RAM NAGAR, NEW DELHI - 110055",-NA-,35,
27,VOCABULARY IN PRACTICE part 3 & 4,80 units of self-study vocabulary exercises with tests,GLENNIS PYE,English,2007,,78(Icon)+2,421.5,English,General,9788175962491,"CAMBRIDGE UNIVERSITY PRESS INDIA PVT. LTD.,","CAMBRIDGE HOUSE, 4381/4, ANSARI ROAD, DARYAGANJ, NEW DELHI-110002",-NA-,115,
28,WHO DESERVES TO BE WROSHIPPED ALONE,,DR. SALEH AS-SALEH,Islamic Studies,1994,Ref,ii+79,210,English / Arabic,General,,PREMIER BOOK CENTRE,NEW DELHI,-NA-,100,
29,AL-QUR'AN,THE MIRACLE OF MIRACLES,AHMED DEEDAT,Arabic,,Ref,72(Icon),210,English,General,,PEACE ORANISING COMMITTEE,"NEW NO.49, VEERABADRAN STREET, OFF. JOSIER STREET, NUNGAMBAKKAM, CHENNAI",-NA-,,
30,ARABS AND ISRAEL : CONFLICT OR CONCILIATION?,,AHMED DEEDAT,Islamic Studies,,Ref,62(Icon),210,English,General,,ISLAMIC BOOK SERVICE,"2241, KUCHA CHELAN, DARYA GANJ, NEW DELHI - 110002 (INDIA)",-NA-,,
31,50000 ERRORS IN THE BIBLE,,AHMED DEEDAT,Islamic Studies,,Ref,8(Icon),210,English,General,9798174355187,ADAM PUBLISHERS & DISTRIBUTORS,"1542, PATAUDI HOUSE, DARYA GANJ, NEW DELHI - 2 (INDIA)",-NA-,10,
32,SLY FOX AND RED HEN -LEVEL 2,READ IT YOURSELF WITH LADYBIRD,PETER STEVENSON,English,MMVIe/MCMXCVIII,,24,823,English,PRIMARY,9781846460753,"LADYBIRD BOOKS LTD.,","A PENGUIN COMPANY, PENGUIN BOOKS LTD., 80 STRAND, LONDON WC2R 0RL, UK",-NA-,UKÂ£ 2.50,
33,ANNALARUM ARIVAIALUM (TAMIL),,MANAVAI MUSTAFA,Islamic Studies,1ed-1992,,viii+120,210,Tamil,General,,MEERAA PUBLICATION,"AE-103, ANNANAGAR, MADRAS - 600040",-NA-,15,
34,PROPHET MUHAMMAD AND HIS MISSION,,S. ATHAR HUSAIN,Islamic Studies,2e/1978,,xii+214,210,English,General,,ACADEMY O FISLAMIC RESEARCH AND PUBLICATIONS,"P.O.BOX 119, NADWATUL-ULUMA, LUCKNOW, (INDIA)",-NA-,30,
35,SEEKING FORGIVENESS,,SHAYKH AL-ISLAM / TAQIUDDIN AHMAD 'ABDUL-HALIM / IBN TAYMIYYAH,Arabic,2001,,56,243.dc,English / Arabic,General,9789960717814,"DARUSSALAM , A MULTILINGUAL INTL. PUBLISHING HOUSE","P.O. BOX 22743, RIYADH 11416, SAUDI ARABIA",-NA-,SR7.00,Saudia Riyal
36,THE ETIQUETTE OF SEEKING KNOWLEDGE,,SHAYKH BAKR ABOO ZAYD,Islamic Studies,2000,,97(Icon),210,English / Arabic,General,9781898649410,ALHIDAAYAH PUBLISHING AND DISTRIBUTION,"P.O. BOX 3332, BIRMINGHAM, UK, B10 0UH",-NA-,125,
37,KEY TO WREN & MARTIN'S HIGH SCHOOL ENGLISH GRAMMAR AND COMPOSITION,,EXPERIENCED TEACHERS,English,2004,,190,425,English,Higher,9788121904001,"S.CHAND & COMPANY LTD.,","RAM NAGAR, NEW DELHI - 110055",-NA-,40,
38,JESUS A PROPHET OF ISLAM,,MUHAMMAD ATAUR-RAHIM,Arabic,1994,,286,,,,8171511538,"NUSRAT ALI NASRI FOR KITAB BHAVAN, 1784, KALAN MAHAL, DARYAGANJ, NEW DELHI - 110002 (INDIA)",,-NA-,,
39,CHINTHANAITH TOONDIYA SHIVAJI(TAMIL),,S.V. RAMANI,Tamil,"1e-1985, 2e-1986",,64(Icon),4T8.6'001,Tamil,General,,SENTOORAN PATHIPAGAM,"86, ARYA GOUDAR ROAD, KODAMBAKKAM, CHENNAI - 24",-NA-,8,
40,PRAYER ACCORDING TO THE SUNNAH,,Prof. MUHAMMAD ZULFIQAR // ARWA BINT DR. MUHAMMAD JIBALY,Islamic Studies,2006,Ref,532(Icon),243 dc,English / Arabic,General,9789960970684,DARUSSALAM,GLOBAL LEADER IN ISLAMIC BOOKS,-NA-,$25,
41,A TANGLED WEB,,ALAN MALEY,English / Fiction,2004,,96(Icon),823,English,General,9780521746304,"CAMBRIDGE UNIVERSITY PRESS INDIA PVT. LTD.,","CAMBRIDGE HOUSE, 4381/4, ANSARI ROAD, DARYAGANJ, NEW DELHI-110002",-NA-,115,
42,THE REWARDS FOR GOOD DEEDS,,SHAYKH SHARAF AD-DIN ' ABDUL MU'MIN AD-DIMYATI RAHIMAHULLAH (d.705 A.H) // MOHAMED MAHOMEDY,Islamic Studies,2007,Ref,660(Icon)+4,243 dc,English / Arabic,General,9789699145049,ZAM ZAM PUBLISHERS,KARACHI-PAKISTAN,-NA-,SR 45.00,Saudia Riyal
43,USOOL AL-HADEETH - THE METHODOLOGY OF HADITH EVALUATION,,DR. ABU AMEENAH BILAL PHILIPS,Islamic Studies,2007,Ref,246(Icon),237.7 dc,English / Arabic,General,9789960987149,INTERNATIONAL ISLAMIC PUBLISHING HOUSE,"(IIPH), P.O. BOX 55195, RIYADH 11534, SAUDI ARABIA",-NA-,$13.63,
44,ROMANS : Voume 2 : The Freedom Letter,VOLUME 2 / THE FREEDOM LETTER,ALAN F. JOHNSON,General / Bible,1985,,141(Icon),227'.107,English,General,802420796,"MOODY PRESS, THE MOODY BIBLE INSTITUTE, CHICAGO",CHICAGO,-NA-,30,
45,MAROOF & MUNKAR,,SYED JALALUDDIN ANSAR,Islamic Studies,4e/1996,,x+300,210,English / Arabic,General,,HINDUSTAN PUBLICATIONS,"2035, MUMTAZ BUILDING QASIMJAN STREET, BALLIMARAN, DELHI - 110006 (INDIA)",-NA-,50,
46,IS MUHAMMAD (pbuh) - THE FOUNDER OF ISLAAM,,KHALIFA ABDUL AZEEM,Islamic Studies,2009,,135(Icon),210,English,General,,HIRA INSTITUTE OF ENGLISH,"OLD NO.74, NEW NO. 84, MOOR STREET, MANNADY, CHENNAI - 600 001.",-NA-,100,
47,MUQALLIDIN : AIMAH KE ADALAT MEIN,,WAHEED PUBLICATIONS,Urdu/ Islamic Studies,1998,,223(Icon),210,Urdu,General,,WAHEED PUBLICATIONS,"JAMIA NAGAR, NEW DELHI - 25",-NA-,55,
48,DON'T BE SAD,,AAIDH IBN ABDULLAH AL-QARNI // FAISAL IBN MUHAMMAD SHAFEEQ (TRANSLATOR),Islamic Studies,2005,Ref,476(Icon)+4,213 dc,English / Arabic,General,9789960850368,INTERNATIONAL ISLAMIC PUBLISHING HOUSE,"P.O. BOX 55195, RIYADH 11534, SAUDI ARABIA",-NA-,830,
49,THE REALITY OF SUFISM,IN LIGHT OF THE QUR'AAN AND SUNNAH,SHAYKH MUHAMMAD IBN RABEE' IBN HAADEE AL-MADKHALEE,Arabic,,Ref,44,,,,,,,-NA-,24,
50,EXPLANATION OF AAYAT ALKURSI,,SHAIKH MUHAMMAD IBNU SAALIH AL UTHAIMEEN,Arabic,2005,,184,,,,,"DARUL HUDA, (QUALITY ISLAMIC BOOK PUBLISHERS) 211/102, LINGHI STREET, I FLOOR, MANNADY, CHENNAI - 600001. INDIA",,-NA-,60,
